title,author,link,date,edition,edition_link,resumo_link,pdf_link,fonte,termo
Desenvolvimento de dispositivo para crochê unilateral fabricado por manufatura aditiva,"Julia Exaltação Trevisan, Alexandre Machado Rocha, Adriana Teixeira Gomes da Conceição, Beatriz Bagatini",https://www.revistas.udesc.br/index.php/hfd/article/view/24561,13-12-2023,,,,,Human Factors in Design,design thinking
Solução de Desafios por meio de um Modelo Baseado no Design Thinking e na Investigação Apreciativa,"Gláucia de Salles Ferro, Adriano Heemann",https://www.revistas.udesc.br/index.php/hfd/article/view/2316796308162019025,20-11-2019,,,,,Human Factors in Design,design thinking
Correspondências Poéticas e Metodológicas entre Arte e Design na criação do livro (de artista) Noturnal,Irene de Mendonça Peixoto,https://www.e-publicacoes.uerj.br/arcosdesign/article/view/89636,10-07-2025,,,,,Arcos Design,inteligência artificial
"Ciclo de vida do produto “Design Thinking” Uma análise da difusão do conceito do “Design Thinking”, sob a ótica do ciclo de vida de um produto.","Naotake Fukushima, Aguinaldo dos Santos",https://www.e-publicacoes.uerj.br/arcosdesign/article/view/14099,26-10-2016,,,,,Arcos Design,design thinking
Cinco eixos para uma Filosofia do Design,"Daniel B. Portugal, Marcos Beccari",https://www.e-publicacoes.uerj.br/arcosdesign/article/view/13055,26-10-2016,,,,,Arcos Design,design thinking
"Mundos em construção: design [projeto], gerenciamento e  a reforma da cultura organizacional",Richard Buchanan,https://www.e-publicacoes.uerj.br/arcosdesign/article/view/29390,13-07-2017,,,,,Arcos Design,design thinking
"Além da função, o uso",Christian Pierre Kasper,https://www.e-publicacoes.uerj.br/arcosdesign/article/view/85664,05-07-2024,,,,,Arcos Design,design thinking
O Design afrofuturista na encruzilhada,"Cynthia Maria Rocha Nunes, Priscila Almeida Cunha Arantes",https://www.e-publicacoes.uerj.br/arcosdesign/article/view/80796,17-07-2024,,,,,Arcos Design,design thinking
Por um design desacomodado: reflexões e análises do campo,"Nina Reis Côrtes, Denise Berruezo Portinari",https://www.e-publicacoes.uerj.br/arcosdesign/article/view/67809,20-09-2022,,,,,Arcos Design,design thinking
Bandeiras que imaginam futurosfabulações especulativas a partir de intervenções no estandarte brasileiro,"Ísis Daou, Zoy Anastassakis",https://www.e-publicacoes.uerj.br/arcosdesign/article/view/82134,17-07-2024,,,,,Arcos Design,design thinking
"Design, cultura material e o fetichismo dos objetos",Rafael Cardoso Denis,https://www.e-publicacoes.uerj.br/arcosdesign/article/view/85049,13-06-2024,,,,,Arcos Design,design thinking
(Re)montagem do mundoo princípio-atlas como um dispositivo visual,"Rafaela Travassos  Sarinho, Carlos Eduardo Felix da Costa",https://www.e-publicacoes.uerj.br/arcosdesign/article/view/82023,17-07-2024,,,,,Arcos Design,design thinking
História Potencial encontra Dysphoria mundiaprender para desaprender um outro olhar,Rafaela Travassos Sarinho,https://www.e-publicacoes.uerj.br/arcosdesign/article/view/90103,10-07-2025,,,,,Arcos Design,design thinking
Galeria Providênciaum projeto cultural de base territorial e suas contribuições para o desenho de novos futuros para as cidades,Giovana Cruz,https://www.e-publicacoes.uerj.br/arcosdesign/article/view/82049,17-07-2024,,,,,Arcos Design,design thinking
Design e ética em IA: reflexões a partir do impacto social do Lensa enquanto produto digital baseado em Inteligência Artificial,Carolina Vaitiekunas Pizarro,https://www.ufrgs.br/det/index.php/det/article/view/1131,Data não informada,,,,,Design e Tecnologia,inteligência artificial
Telha residencial bioinspirada para melhoria do conforto térmico  - AntTile Design,"Osiris Canciglieri Junior, Roberta Ferrari, Arthur Canciglieri, Maria Carolina",https://www.ufrgs.br/det/index.php/det/article/view/1039,Data não informada,,,,,Design e Tecnologia,inteligência artificial
"Design de Serviços para a Inovação Social: Um estudo de caso sobre design, serviços relacionais e desenvolvimento sustentável","Thalita Barbalho, Rita Engler",https://www.ufrgs.br/det/index.php/det/article/view/839,Data não informada,,,,,Design e Tecnologia,design thinking
Design para empreendimentos econômicos solidários: desenvolvimento de produto no setor de confecção de acessórios,"Renata Mayumi  Lopes Fujita, Lara  Leite Barbosa",https://www.ufrgs.br/det/index.php/det/article/view/1145,Data não informada,,,,,Design e Tecnologia,design thinking
Design Thinking e Marketing Digital como aliados estratégicos  de microempreendedoresFerramenta gerencial de autoavaliação  do nível de desenvolvimento de negócios no mercado online,"Marina Orestes Blum, Ângela  de Moura Ferreira Danilevicz",https://www.ufrgs.br/det/index.php/det/article/view/888,Data não informada,,,,,Design e Tecnologia,design thinking
UX e Design Inovação: evoluções metodológicas no processo de construção de apps,"Letícia Vasconcelos Morais Garcez, Isabela  Sousa Guimarães",https://www.ufrgs.br/det/index.php/det/article/view/924,Data não informada,,,,,Design e Tecnologia,design thinking
Design Thinking na compreensão de Serviços de Graduação a Distância,Bruno Bertagnolli,https://www.ufrgs.br/det/index.php/det/article/view/1020,Data não informada,,,,,Design e Tecnologia,design thinking
Design de um não tecido impresso em 3D: uma perspectiva prática acerca do caimento,"Natani Ap. do Bem, Luciana Cristina Soto Herek Rezende, Paula Piva Linke",https://www.ufrgs.br/det/index.php/det/article/view/886,Data não informada,,,,,Design e Tecnologia,design thinking
Escultura Anamórfica: Percepção e Design VisualAnamorphic Sculpture: Perception and Visual Design,"Madalena Grimaldi, Cristiano Nogueira",https://www.ufrgs.br/det/index.php/det/article/view/915,Data não informada,,,,,Design e Tecnologia,design thinking
Inovação através do design:  princípios sistêmicos do pensamento projetual,Renata Gastal Porto,https://www.ufrgs.br/det/index.php/det/article/view/57,Data não informada,,,,,Design e Tecnologia,design thinking
A roadmap towards mobile applications with accessibility for visually impaired users: guideline and its evaluation,"Walter FM Correia, Marcelo Penha, Jefté de A Macedo, Clauirton A Siebra, Marcelo E Anjos",https://www.ufrgs.br/det/index.php/det/article/view/625,Data não informada,,,,,Design e Tecnologia,design thinking
Reflexões sobre  prática do ensino e da pesquisa transdisciplinar no binômio “Design & Engenharia”,Wilson Kindlein Júnior,https://www.ufrgs.br/det/index.php/det/article/view/914,Data não informada,,,,,Design e Tecnologia,design thinking
O processo legislativo como base para projeto de jogo de tabuleiro para conscientização político-democrática,Leônidas Soares Pereira,https://www.ufrgs.br/det/index.php/det/article/view/711,Data não informada,,,,,Design e Tecnologia,design thinking
Imaginea Inteligência Artificial aplicada à Arquitetura e Urbanismo,"Gilfranco Alves, Juliana Trujillo",https://periodicos.ufjf.br/index.php/triades/article/view/44796,2025-02-05,,,,,Tríades em Revista,inteligência artificial
Considerações sobre a dimensão estética semiótica da desinformação no âmbito da pós-verdade e no desenvolvimento da inteligência artificial,"Leonardo Ripoll, Vinicius Romanini",https://periodicos.ufjf.br/index.php/triades/article/view/45071,2025-01-14,,,,,Tríades em Revista,inteligência artificial
A era das inteligências artificiais na reprodutibilidade técnica,Anna Carolina de Sá Brum,https://periodicos.ufjf.br/index.php/triades/article/view/44766,2025-03-05,,,,,Tríades em Revista,inteligência artificial
"A revolução da inteligência artificial na arteas implicações sobre a ecologia de mídias, o metaverso como palco e o rearranjo dos grupos envolvidos",Frederico Pacheco,https://periodicos.ufjf.br/index.php/triades/article/view/44871,2024-10-11,,,,,Tríades em Revista,inteligência artificial
Semiótica da cultura e considerações sobre a produção do olhar e da memória na era da Inteligência Artificial,Fernanda Ribeiro Salvo,https://periodicos.ufjf.br/index.php/triades/article/view/44958,2024-12-15,,,,,Tríades em Revista,inteligência artificial
